Frame,R_00,R_01,R_02,R_10,R_11,R_12,R_20,R_21,R_22,Hip_x,Hip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,Neck_x,Neck_y,LUpperArm_x,LUpperArm_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RUpperArm_x,RUpperArm_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y
0,0.945011795521412,0.327036246195123,-0.000000000000000,-0.085353836709302,0.246640497564829,0.965340969564628,-0.315701486984776,0.912258602938649,-0.260991977807795,0.000000000000000,0.000000000000000,-22.089946763502045,13.701508101226299,-17.235918687250756,20.476808987114254,-73.903766919700516,-60.146356020499582,22.417893422787195,-13.904917555227032,-1.882458823651868,-23.542899922291610,-40.243967072128321,-35.624027000870178,-2.085137824013182,94.745237901565673,27.898378917104715,84.214798233800039,61.515176917382213,39.459016421818696,79.399772603738924,-10.400816619751433,-24.380509620431788,83.100103341310401,-18.833883933219507,46.637413485888800,-26.708892889381719,0.700661363223832
1,-0.958328917283203,-0.285667089982036,0.000000000000000,0.050658363070933,-0.169943882006707,0.984150805120569,0.281139496602270,-0.943140175514587,-0.177333563604119,0.000000000000044,-0.000000000000044,25.054545148443861,-1.416524116820516,18.476315430913310,-67.619633506709349,3.722711988163381,-51.472466901143143,-24.782544394073589,1.401146769189290,-11.886626664821010,-65.736987185729973,-37.585638835906167,-49.340783935245874,10.191623053032727,93.965053611445995,-15.121023896970485,82.668784992119001,-26.413579121766041,36.910434693789419,-15.521451061515160,7.227812368987240,34.983945704740712,80.402440143882444,67.238742700980325,38.662466461594484,73.261321283361056,14.357017938676737
2,0.942386629519652,0.334525694831637,-0.000000000000000,-0.088379430494106,0.248972186319273,0.964469764536421,-0.322639918125652,0.908903410675090,-0.264193249904424,-0.000000000000047,0.000000000000000,-25.070722372137691,4.857558863499490,-52.775814188310818,-32.338133838453025,-86.221946249557519,-73.953030251712093,25.463456310228242,-4.933651724747479,-11.187961999338180,-28.930164721742621,-53.910720077444239,-71.913982993826238,15.046071699819585,93.605098667487042,43.650535300005217,85.770529125435601,51.239533854474374,35.534179668917645,58.223410253574798,-6.405097942895087,-13.246207686172918,88.348328508527530,-14.011900057021947,46.831801810758556,-20.800880787669701,3.939129307083994
3,-0.944778972291044,-0.327708244505199,0.000000000000000,0.080144690595048,-0.231056190024453,0.969633882257014,0.317757017367207,-0.916089702777356,-0.244561105614102,0.000000000000000,0.000000000000000,25.255133270260888,-1.084857806529755,34.566931248928363,77.692650946455799,34.533251861901824,3.121077597084637,-24.816367999062454,1.066009549884168,-1.173017579002998,80.391033522905929,11.854551810729058,3.797071714608673,-0.374288944651634,96.669069657839586,-25.933669916742438,83.691916742053806,-37.537403151721804,58.929193159230607,-19.489089627521281,48.027280381624671,27.993696438195169,85.892210107320736,67.001986627940397,65.929930996607553,62.563379617815187,62.891642004182820
4,-0.933095644332782,0.359628306070575,0.000000000000000,-0.097409309553067,-0.252739289224897,0.962618448864600,-0.346184842157461,-0.898215081789937,-0.270861074917589,0.000000000000000,0.000000000000000,27.173751833734201,4.676004581875053,9.253911581120946,88.253811864655717,-14.896705502977714,19.722853416064211,-27.399339976734712,-4.714822142564017,-55.261193834986464,82.238233794949451,-51.688587936021634,44.565991295586421,-2.389297784492016,91.479178219713063,-31.341176639154103,77.061419558195141,-32.862286376624738,18.838379635617773,-37.267561016463517,-29.282744014602912,28.095439008723925,85.801601768699427,58.847320936485566,33.160183550635395,56.612451954569600,-15.374770518327049
5,0.939527823741911,0.342472580529870,-0.000000000000000,-0.042526257400365,0.116665112300191,0.992260434061291,-0.339821991410659,0.932256286198809,-0.124174196178185,-0.000000000000098,0.000000000000000,-27.784032886693030,2.439365942408212,-18.381322743429156,-88.308765483703667,-9.485544058371053,-176.439777282376525,28.063999429151302,-2.463956497682630,24.679222152877315,-95.011325162407843,26.332415134135800,-183.937703017933075,-0.115139414232760,105.577575953930150,28.333504751705672,92.662529088743426,47.141382412049339,34.988374202375127,19.580883218533298,16.906834912284420,-25.504128169648428,89.041838070460386,-46.127367159390772,33.760162025083822,-50.976426325957163,11.553820585264713
6,0.905632229705663,-0.424063986349170,0.000000000000000,0.139387221455299,0.297675738149337,0.944436529054345,0.400501519364559,0.855312159622964,-0.328693843245932,0.000000000000000,0.000000000000000,-31.834791180647162,-2.039321043881570,-12.360799262535068,35.858890921824496,-26.126025447872703,-96.704264850599628,31.006700374031443,1.986271551719656,98.520179705617721,59.164756937978360,148.623020269896870,-56.437247777359033,29.764600525851666,97.328035563456481,67.206601143949470,92.623359255898492,130.427910429985474,50.769930171564184,97.830009243001314,78.169187071476941,-7.962552819543580,82.393866589272264,-13.500258081455385,26.516422098874095,51.856968086577965,63.768438908544226
7,0.941699399750818,0.336455406419556,-0.000000000000000,-0.088786493691350,0.248503029583846,0.964553369609814,-0.324529195985422,0.908319329189191,-0.263887849614858,0.000000000000047,-0.000000000000047,-25.620324287493286,4.116119347005611,-52.752318037558283,-34.794830490137784,-86.299410377778088,-75.138134463483013,25.983795471764878,-4.174513839386484,-2.485670502422256,-36.855911202651036,-38.148792690146038,-82.636204135582062,-19.033478596928145,82.723658159339791,10.642397726921752,72.189667932594517,41.201094037697295,22.764834880708385,63.853721643623416,-24.475821086643069,-42.792424049944316,68.125412603754413,-76.019352227205459,19.826597496412756,-105.262334965792206,-23.787336581885182
8,0.904912289186020,-0.425598107232771,0.000000000000000,0.140251410001314,0.298204391253185,0.944141770620261,0.401824950535380,0.854365490968122,-0.329539552967530,0.000000000000060,0.000000000000060,-32.226033977197829,-0.210388776676641,-8.956390660152415,-15.146758076085638,45.919475186398131,-61.733570450609932,31.404834856926247,0.205025765661602,122.895153750896043,20.615342117679752,27.655409784384226,-62.842559220801540,8.201629761106403,123.762658582244214,40.327429328269666,112.853732381012108,74.723237339329373,61.861746893253823,132.805743598528295,31.283280884783615,-29.330627499973012,106.694219288429807,-63.576415803465501,44.405958482096295,-74.896425563744387,-11.022105877248846
9,0.942412115369100,0.334453890402754,-0.000000000000000,-0.088328348037667,0.248888434878109,0.964496060083639,-0.322579459573101,0.908952772248585,-0.264097236038429,0.000000000000000,0.000000000000000,-25.086669366849087,4.731707477793745,-52.741423773774962,-32.282681036977017,-86.079903115632902,-74.045963217896585,25.479906459461713,-4.805878283218930,-11.702052376665701,-26.804081944891799,-53.457431601751047,-71.453873695171268,15.721911848747075,93.936980592292969,44.146671571391167,85.752004548712023,51.914128113431026,37.275005097560651,57.513975135533592,-6.414427630513518,-12.990641346300944,88.281794792574516,-15.453926266415026,43.628936769565676,-21.207987146166868,2.664924079009187
